Date,Index,Price (actual),Price,Price.lower,Price.upper
2020-08-11,EMU,193.974,197.89361794707864,51.988476418758324,212.7923609890708
2020-08-11,Emerging Markets,1091.229,1006.0871548721509,766.1270397842602,1163.727108045979
2020-08-11,Europe,1646.031,1654.0177572127939,1086.0073081405283,1743.482980699122
2020-08-11,North America,3355.584,3092.2148254295657,2908.889821132691,3575.4579141990966
2020-08-11,Pacific,2651.422,2732.394544221002,2225.2816242991266,2982.3019102366265
2020-08-11,World,2359.466,2137.523064747436,1788.6856394544673,2428.9995025404046
2020-08-12,EMU,196.628,197.4919545298298,51.58681300150948,212.390697571822
2020-08-12,Emerging Markets,1093.976,914.6405735234705,674.6804584355798,1072.2805266972987
2020-08-12,Europe,1671.065,1646.803883943654,1078.7934348713884,1736.269107429982
2020-08-12,North America,3404.02,3168.822472222593,2985.4974679257184,3652.065560992124
2020-08-12,Pacific,2668.972,2661.9001151598795,2154.787195238004,2911.807481175504
2020-08-12,World,2391.795,2102.4358583631133,1753.5984330701447,2393.912296156082
2020-08-13,EMU,196.147,197.35261557330497,51.44747404498466,212.25135861529714
2020-08-13,Emerging Markets,1096.183,980.7478777363067,740.787762648416,1138.3878309101349
2020-08-13,Europe,1664.205,1640.63768533031,1072.6272362580444,1730.102908816638
2020-08-13,North America,3400.178,3219.563202251803,3036.238197954928,3702.806291021334
2020-08-13,Pacific,2689.72,2670.73865762408,2163.625737702205,2920.6460236397047
2020-08-13,World,2390.085,2173.3745557304032,1824.5371304374346,2464.850993523372
2020-08-14,EMU,193.639,197.35261557330497,51.44747404498466,212.25135861529714
2020-08-14,Emerging Markets,1093.155,1021.3185223028129,781.3584072149222,1178.958475476641
2020-08-14,Europe,1642.767,1655.7980682150378,1087.7876191427722,1745.263291701366
2020-08-14,North America,3398.63,3247.6396318882857,3064.314627591411,3730.8827206578167
2020-08-14,Pacific,2698.708,2661.3931005112354,2154.28018058936,2911.30046652686
2020-08-14,World,2384.199,2218.404945306415,1869.5675200134463,2509.8813830993836
2020-08-17,EMU,194.611,197.23997673162967,51.33483520330935,212.13871977362186
2020-08-17,Emerging Markets,1099.962,1036.593623861413,796.6335087735224,1194.2335770352413
2020-08-17,Europe,1653.447,1624.0937023321887,1056.0832532599231,1713.5589258185168
2020-08-17,North America,3414.305,3256.1104564376437,3072.785452140769,3739.3535452071746
2020-08-17,Pacific,2689.941,2628.127537100294,2121.0146171784186,2878.0349031159185
2020-08-17,World,2393.972,2210.6188362740067,1861.781410981038,2502.0952740669754
2020-08-18,EMU,194.504,197.23997673162967,51.33483520330935,212.13871977362186
2020-08-18,Emerging Markets,1104.961,1035.6286478708264,795.6685327829357,1193.2686010446546
2020-08-18,Europe,1651.867,1615.5312736710828,1047.5208245988172,1704.996497157411
2020-08-18,North America,3422.901,3254.320077771977,3070.9950734751023,3737.563166541508
2020-08-18,Pacific,2706.671,2600.7365459566563,2093.623626034781,2850.643911972281
2020-08-18,World,2399.366,2177.367158347575,1828.5297330546061,2468.8435961405435
2020-08-19,EMU,195.406,197.23997673162967,51.33483520330935,212.13871977362186
2020-08-19,Emerging Markets,1099.412,1042.7530223552644,802.7929072673737,1200.3929755290926
2020-08-19,Europe,1660.243,1614.5516876352472,1046.5412385629816,1704.0169111215753
2020-08-19,North America,3407.418,3265.715357692816,3082.390353395941,3748.9584464623467
2020-08-19,Pacific,2709.651,2606.5173983298673,2099.404478407992,2856.424764345492
2020-08-19,World,2394.468,2174.9986794529664,1826.1612541599977,2466.475117245935
2020-08-20,EMU,192.052,198.03104042315758,52.12589889483726,212.92978346514974
2020-08-20,Emerging Markets,1080.537,1037.699920925936,797.7398058380454,1195.3398740997643
2020-08-20,Europe,1633.829,1625.1067569199802,1057.0963078477146,1714.5719804063083
2020-08-20,North America,3419.676,3263.6244185773007,3080.299414280426,3746.8675073468316
2020-08-20,Pacific,2671.473,2634.6866126110067,2127.5736926891313,2884.5939786266313
2020-08-20,World,2389.15,2151.8478683377707,1803.010443044802,2443.3243061307394
2020-08-21,EMU,190.569,197.35603663493035,51.450895106610034,212.2547796769225
2020-08-21,Emerging Markets,1091.85,1042.763156387768,802.8030412998773,1200.4031095615962
2020-08-21,Europe,1622.514,1614.9611773211254,1046.9507282488598,1704.4264008074535
2020-08-21,North America,3430.601,3170.6728482158196,2987.347843918945,3653.9159369853505
2020-08-21,Pacific,2680.094,2625.6610876968025,2118.548167774927,2875.568453712427
2020-08-21,World,2392.108,2106.42645651809,1757.5890312251215,2397.902894311059
2020-08-24,EMU,194.968,197.67110680923162,51.7659652809113,212.5698498512238
2020-08-24,Emerging Markets,1108.23,1050.9248864151875,810.9647713272968,1208.5648395890157
2020-08-24,Europe,1653.478,1610.1357915433211,1042.1253424710555,1699.6010150296493
2020-08-24,North America,3461.552,3025.714392445856,2842.389388148981,3508.957481215387
2020-08-24,Pacific,2692.44,2593.9040553855075,2086.791135463632,2843.811421401132
2020-08-24,World,2417.054,2126.9114597706903,1778.0740344777216,2418.387897563659
2020-08-25,EMU,195.08,196.75905431682372,50.85391278850341,211.6577973588159
2020-08-25,Emerging Markets,1114.724,1046.628538453482,806.6684233655913,1204.2684916273101
2020-08-25,Europe,1649.559,1620.4526341995197,1052.442185127254,1709.9178576858478
2020-08-25,North America,3473.585,3185.887127796494,3002.5621234996192,3669.130216566025
2020-08-25,Pacific,2703.821,2594.5612326868763,2087.448312765001,2844.468598702501
2020-08-25,World,2422.949,2209.000182512307,1860.1627572193386,2500.476620305276
2020-08-26,EMU,196.766,196.94457937614084,51.03943784782052,211.84332241813303
2020-08-26,Emerging Markets,1119.338,1036.141330510853,796.1812154229624,1193.7812836846813
2020-08-26,Europe,1663.011,1625.6514117965473,1057.6409627242817,1715.1166352828754
2020-08-26,North America,3512.129,3161.5344191858476,2978.209414888973,3644.7775079553785
2020-08-26,Pacific,2709.432,2562.976865671853,2055.8639457499776,2812.8842316874775
2020-08-26,World,2446.05,2142.904562917617,1794.0671376246485,2434.381000710586
2020-08-27,EMU,194.722,197.35261557330497,51.44747404498466,212.25135861529714
2020-08-27,Emerging Markets,1117.219,1037.7989296144165,797.8388145265258,1195.4388827882446
2020-08-27,Europe,1648.296,1625.9023071761499,1057.8918581038843,1715.367530662478
2020-08-27,North America,3517.248,3181.208941057313,2997.8839367604382,3664.452029826844
2020-08-27,Pacific,2693.364,2566.728892202486,2059.6159722806105,2816.6362582181105
2020-08-27,World,2442.786,2146.7892532745277,1797.951827981559,2438.2656910674964
2020-08-28,EMU,195.773,196.94457937614084,51.03943784782052,211.84332241813303
2020-08-28,Emerging Markets,1121.6,1043.19318675662,803.2330716687293,1200.8331399304482
2020-08-28,Europe,1654.242,1634.585139208465,1066.5746901361995,1724.0503626947932
2020-08-28,North America,3539.412,3255.8410892092866,3072.516084912412,3739.0841779788175
2020-08-28,Pacific,2709.701,2555.6079937847467,2048.4950738628713,2805.5153598003712
2020-08-28,World,2456.855,2217.4965024035077,1868.659077110539,2508.9729401964764
2020-08-31,EMU,194.708,198.03104042315758,52.12589889483726,212.92978346514974
2020-08-31,Emerging Markets,1101.499,1046.7832247001202,806.8231096122295,1204.4231778739484
2020-08-31,Europe,1652.282,1645.0750468990666,1077.064597826801,1734.5402703853947
2020-08-31,North America,3537.305,3289.5036418409786,3106.178637544104,3772.7467306105095
2020-08-31,Pacific,2712.197,2566.63220220325,2059.5192822813747,2816.5395682188746
2020-08-31,World,2455.512,2255.4634591618037,1906.626033868835,2546.9398969547724
2020-09-01,EMU,194.906,197.80388377343678,51.898742245116466,212.70262681542897
2020-09-01,Emerging Markets,1120.016,1048.3010971799597,808.340982092069,1205.941050353788
2020-09-01,Europe,1646.876,1629.8315094219915,1061.821060349726,1719.2967329083196
2020-09-01,North America,3567.199,3293.7632235914325,3110.4382192945577,3777.0063123609634
2020-09-01,Pacific,2699.653,2576.701310814977,2069.588390893102,2826.608676830602
2020-09-01,World,2467.249,2263.3238353784964,1914.4864100855277,2554.800273171465
2020-09-02,EMU,196.004,198.7575678562484,52.85242632792807,213.65631089824058
2020-09-02,Emerging Markets,1118.899,1063.0667285643967,823.106613476506,1220.706681738225
2020-09-02,Europe,1656.928,1640.4970790674674,1072.4866299952018,1729.9623025537955
2020-09-02,North America,3614.468,3294.6825941089073,3111.3575898120325,3777.9256828784382
2020-09-02,Pacific,2710.951,2614.2294174693925,2107.116497547517,2864.136783485017
2020-09-02,World,2494.101,2245.9411731866985,1897.1037478937299,2537.417610979667
2020-09-03,EMU,193.657,198.64387186893617,52.73873034061586,213.54261491092836
2020-09-03,Emerging Markets,1108.852,1062.305663186907,822.3455480990162,1219.9456163607351
2020-09-03,Europe,1634.426,1639.8892285929205,1071.878779520655,1729.3544520792486
2020-09-03,North America,3484.755,3302.468602751328,3119.1435984544532,3785.711691520859
2020-09-03,Pacific,2722.236,2607.93774124273,2100.8248213208544,2857.8451072583543
2020-09-03,World,2425.783,2256.4544786166093,1907.6170533236407,2547.930916409578
2020-09-04,EMU,190.753,199.16902511503787,53.263883586717554,214.06776815703006
2020-09-04,Emerging Markets,1099.499,1067.6463873802645,827.6862722923738,1225.2863405540927
2020-09-04,Europe,1611.051,1647.7931612663083,1079.7827121940427,1737.2583847526364
2020-09-04,North America,3453.731,3305.97690671056,3122.651902413685,3789.219995480091
2020-09-04,Pacific,2677.281,2587.3357598393063,2080.222839917431,2837.243125854931
2020-09-04,World,2399.601,2260.811612615444,1911.9741873224755,2552.288050408413
2020-09-07,EMU,194.351,198.49060026518526,52.58545873686495,213.38934330717745
2020-09-07,Emerging Markets,1094.563,1076.54903501823,836.5889199303392,1234.188988192058
2020-09-07,Europe,1641.22,1635.150750958661,1067.1403018863955,1724.6159744449892
2020-09-07,North America,3454.161,3306.927884016897,3123.6028797200224,3790.170972786428
2020-09-07,Pacific,2674.747,2577.646610408398,2070.5336904865226,2827.5539764240225
2020-09-07,World,2408.046,2223.9434037431197,1875.105978450151,2515.4198415360884
2020-09-08,EMU,191.237,198.8873008905193,52.982159362198985,213.78604393251146
2020-09-08,Emerging Markets,1087.506,1075.7150417705852,835.7549266826945,1233.3549949444134
2020-09-08,Europe,1617.985,1648.5119020390248,1080.5014529667592,1737.977125525353
2020-09-08,North America,3353.751,3307.424942156567,3124.099937859692,3790.668030926098
2020-09-08,Pacific,2691.426,2581.7422871601243,2074.629367238249,2831.649653175749
2020-09-08,World,2354.41,2240.368644388102,1891.5312190951333,2531.8450821810707
2020-09-09,EMU,194.821,198.85053387911122,52.94539235079091,213.7492769211034
2020-09-09,Emerging Markets,1085.747,1079.9433031268102,839.9831880389195,1237.5832563006384
2020-09-09,Europe,1647.343,1646.0611088914075,1078.0506598191419,1735.5263323777356
2020-09-09,North America,3424.364,3305.688992778488,3122.363988481613,3788.9320815480187
2020-09-09,Pacific,2659.582,2615.9982412650133,2108.885321343138,2865.905607280638
2020-09-09,World,2393.751,2222.39732667944,1873.5599013864714,2513.873764472409
2020-09-10,EMU,195.347,199.577061312202,53.67191978388169,214.47580435419417
2020-09-10,Emerging Markets,1085.314,1075.4362761312482,835.4761610433575,1233.0762293050764
2020-09-10,Europe,1646.144,1653.9664834663024,1085.9560343940368,1743.4317069526305
2020-09-10,North America,3366.643,3305.7906535175925,3122.4656492207177,3789.0337422871235
2020-09-10,Pacific,2683.877,2594.776696858163,2087.663776936288,2844.6840628737877
2020-09-10,World,2367.8,2330.4832923297213,1981.6458670367526,2621.95973012269
2020-09-11,EMU,194.74,200.54748966163297,54.64234813331265,215.44623270362513
2020-09-11,Emerging Markets,1091.791,1082.3105364547969,842.3504213669062,1239.950489628625
2020-09-11,Europe,1642.942,1705.3100731395955,1137.29962406733,1794.7752966259236
2020-09-11,North America,3367.476,3305.363315540619,3122.0383112437444,3788.60640431015
2020-09-11,Pacific,2692.621,2629.19956823795,2122.086648316075,2879.1069342535748
2020-09-11,World,2368.143,2430.221558450365,2081.3841331573967,2721.697996243334
2020-09-14,EMU,195.637,200.0355755580043,54.13043402968398,214.93431859999646
2020-09-14,Emerging Markets,1104.266,1073.9983832235562,834.0382681356655,1231.6383363973844
2020-09-14,Europe,1650.766,1724.8047501083347,1156.794301036069,1814.2699735946628
2020-09-14,North America,3414.81,3301.4016300227213,3118.0766257258465,3784.644718792252
2020-09-14,Pacific,2722.625,2628.450054691576,2121.3371347697007,2878.3574207072006
2020-09-14,World,2396.374,2470.2782252656734,2121.4407999727045,2761.754663058642
2020-09-15,EMU,196.162,199.7061395155098,53.800997987189476,214.60488255750198
2020-09-15,Emerging Markets,1112.619,1075.1361322924072,835.1760172045165,1232.7760854662354
2020-09-15,Europe,1658.75,1742.2038388855476,1174.193389813282,1831.6690623718757
2020-09-15,North America,3435.33,3300.8111663429895,3117.4861620461147,3784.0542551125204
2020-09-15,Pacific,2716.357,2624.3862670305675,2117.273347108692,2874.293633046192
2020-09-15,World,2407.975,2441.4299220699477,2092.592496776979,2732.9063598629164
2020-09-16,EMU,196.532,200.54748966163297,54.64234813331265,215.44623270362513
2020-09-16,Emerging Markets,1116.994,1078.7445438086775,838.7844287207868,1236.3844969825056
2020-09-16,Europe,1665.255,1730.6376069467374,1162.6271578744718,1820.1028304330655
2020-09-16,North America,3417.882,3272.565027274042,3089.240022977167,3755.8081160435727
2020-09-16,Pacific,2738.261,2624.419399366598,2117.3064794447227,2874.3267653822227
2020-09-16,World,2403.5,2412.220376865789,2063.3829515728203,2703.696814658758
2020-09-17,EMU,194.99,200.8750405454875,54.969899017167194,215.77378358747967
2020-09-17,Emerging Markets,1106.819,1086.963005311318,847.0028902234274,1244.6029584851462
2020-09-17,Europe,1653.206,1688.0096593345959,1119.9992102623303,1777.474882820924
2020-09-17,North America,3387.88,3148.455757279899,2965.130752983024,3631.69884604943
2020-09-17,Pacific,2718.353,2654.581441844935,2147.4685219230596,2904.4888078605595
2020-09-17,World,2383.538,2378.466663145388,2029.6292378524192,2669.9431009383566
2020-09-18,EMU,194.18,201.0041187487953,55.09897722047498,215.90286179078748
2020-09-18,Emerging Markets,1108.532,1088.9182064098163,848.9580913219256,1246.5581595836445
2020-09-18,Europe,1649.351,1684.831955489834,1116.8215064175683,1774.297178976162
2020-09-18,North America,3355.302,3082.2562919732195,2898.9312876763447,3565.4993807427504
2020-09-18,Pacific,2731.616,2647.881552860279,2140.7686329384037,2897.7889188759036
2020-09-18,World,2367.993,2372.1165913778996,2023.279166084931,2663.5930291708682
2020-09-21,EMU,185.304,201.0041187487953,55.09897722047498,215.90286179078748
2020-09-21,Emerging Markets,1090.35,1092.2674007182618,852.3072856303711,1249.90735389209
2020-09-21,Europe,1580.914,1687.7604865011149,1119.7500374288493,1777.225709987443
2020-09-21,North America,3319.83,2991.73736385649,2808.412359559615,3474.980452626021
2020-09-21,Pacific,2711.602,2639.5900568389015,2132.477136917026,2889.497422854526
2020-09-21,World,2329.494,2342.57537921768,1993.7379539247115,2634.051817010649
2020-09-22,EMU,184.961,201.0041187487953,55.09897722047498,215.90286179078748
2020-09-22,Emerging Markets,1082.865,1083.287534845217,843.3274197573262,1240.927488019045
2020-09-22,Europe,1579.087,1680.4566054860668,1112.4461564138012,1769.921828972395
2020-09-22,North America,3352.909,3039.672922836704,2856.347918539829,3522.916011606235
2020-09-22,Pacific,2694.872,2631.475435450074,2124.362515528199,2881.382801465699
2020-09-22,World,2343.388,2341.570475915217,1992.7330506222486,2633.046913708186
2020-09-23,EMU,185.334,201.0041187487953,55.09897722047498,215.90286179078748
2020-09-23,Emerging Markets,1077.698,1086.7150228793757,846.754907791485,1244.354976053204
2020-09-23,Europe,1583.912,1683.617744352527,1115.6072952802615,1773.0829678388552
2020-09-23,North America,3271.731,3039.1103291394693,2855.7853248425945,3522.353417909
2020-09-23,Pacific,2697.49,2661.018703355607,2153.905783433732,2910.9260693712317
2020-09-23,World,2305.571,2358.8679994856784,2010.0305741927098,2650.344437278647
2020-09-24,EMU,183.691,201.14602407211507,55.240882543794754,216.04476711410723
2020-09-24,Emerging Markets,1057.742,1088.5908202592238,848.6307051713331,1246.230773433052
2020-09-24,Europe,1563.352,1686.7374424717047,1118.7269933994391,1776.2026659580329
2020-09-24,North America,3280.407,3044.772592698855,2861.4475884019803,3528.015681468386
2020-09-24,Pacific,2661.109,2678.571400720125,2171.4584807982496,2928.4787667357496
2020-09-24,World,2300.297,2370.892251170924,2022.0548258779552,2662.3686889638925
2020-09-25,EMU,182.326,201.14602407211507,55.240882543794754,216.04476711410723
2020-09-25,Emerging Markets,1059.102,1091.9862968087164,852.0261817208257,1249.6262499825445
2020-09-25,Europe,1558.595,1690.1409236162174,1122.1304745439518,1779.6061471025455
2020-09-25,North America,3335.141,3026.2961884124375,2842.9711841155627,3509.5392771819684
2020-09-25,Pacific,2674.572,2659.277106440207,2152.1641865183315,2909.1844724558314
2020-09-25,World,2326.853,2375.8782535949613,2027.0408283019926,2667.35469138793
2020-09-28,EMU,187.347,201.0716703116617,55.16652878334139,215.9704133536539
2020-09-28,Emerging Markets,1069.877,1093.804079492831,853.8439644049404,1251.4440326666593
2020-09-28,Europe,1596.385,1685.3412820913657,1117.3308330191,1774.8065055776938
2020-09-28,North America,3388.669,2998.918973592005,2815.59396929513,3482.162062361536
2020-09-28,Pacific,2703.919,2640.314241634732,2133.2013217128565,2890.2216076503564
2020-09-28,World,2366.406,2375.433243568417,2026.5958182754482,2666.9096813613855
2020-09-29,EMU,188.049,199.9889599189499,54.083818390629574,214.88770296094208
2020-09-29,Emerging Markets,1068.788,1094.5565076878101,854.5963925999195,1252.1964608616383
2020-09-29,Europe,1599.51,1645.3923350068142,1077.3818859345486,1734.8575584931423
2020-09-29,North America,3373.236,2866.7329607084944,2683.4079564116196,3349.9760494780253
2020-09-29,Pacific,2701.783,2575.212557184364,2068.0996372624886,2825.1199231999885
2020-09-29,World,2359.634,2374.074644148299,2025.2372188553302,2665.5510819412675
2020-09-30,EMU,187.323,199.577061312202,53.67191978388169,214.47580435419417
2020-09-30,Emerging Markets,1081.996,1094.4540362996636,854.4939212117729,1252.0939894734918
2020-09-30,Europe,1596.249,1661.2649354899636,1093.254486417698,1750.7301589762917
2020-09-30,North America,3399.054,2546.334920126819,2363.009915829944,3029.5780088963497
2020-09-30,Pacific,2661.982,2575.9347929607675,2068.821873038892,2825.842158976392
2020-09-30,World,2367.27,2377.6703007049186,2028.83287541195,2669.1467384978873
2020-10-01,EMU,187.96,199.71896663552178,53.81382510720147,214.61770967751397
2020-10-01,Emerging Markets,1084.835,1096.02366210083,856.0635470129394,1253.6636152746582
2020-10-01,Europe,1600.032,1673.0269176471475,1105.0164685748819,1762.4921411334756
2020-10-01,North America,3421.987,2532.3584834345306,2349.033479137656,3015.6015722040615
2020-10-01,Pacific,2666.986,2611.3106972156647,2104.1977772937894,2861.2180632312893
2020-10-01,World,2380.021,2379.743000155816,2030.9055748628473,2671.2194379487846
2020-10-02,EMU,187.628,200.68939498495274,54.78425345663243,215.58813802694493
2020-10-02,Emerging Markets,1081.706,1111.237417456051,871.2773023681602,1268.8773706298791
2020-10-02,Europe,1601.383,1676.6854061677725,1108.674957095507,1766.1506296541006
2020-10-02,North America,3389.198,2493.0977173170677,2309.772713020193,2976.3408060865986
2020-10-02,Pacific,2646.523,2641.1171411237315,2134.004221201856,2891.024507139356
2020-10-02,World,2362.406,2379.8875820810176,2031.050156788049,2671.3640198739863
2020-10-05,EMU,190.94,201.01694586880728,55.11180434048697,215.91568891079947
2020-10-05,Emerging Markets,1091.381,1116.6294604012762,876.6693453133855,1274.2694135751044
2020-10-05,Europe,1625.214,1677.5669810504287,1109.556531978163,1767.0322045367568
2020-10-05,North America,3450.733,2521.958854580531,2338.633850283656,3005.201943350062
2020-10-05,Pacific,2690.586,2631.2209351283273,2124.108015206452,2881.128301143952
2020-10-05,World,2403.5,2377.1360080556933,2028.2985827627247,2668.612445848662
2020-10-06,EMU,191.748,201.0041187487953,55.09897722047498,215.90286179078748
2020-10-06,Emerging Markets,1102.47,1100.448100181726,860.4879850938353,1258.0880533555542
2020-10-06,Europe,1626.057,1678.3292614623213,1110.3188123900556,1767.7944849486494
2020-10-06,North America,3404.21,2512.043741133728,2328.718736836853,2995.286829903259
2020-10-06,Pacific,2704.529,2618.4488415057085,2111.335921583833,2868.356207521333
2020-10-06,World,2382.57,2376.380896993592,2027.5434717006235,2667.857334786561
2020-10-07,EMU,191.287,201.0041187487953,55.09897722047498,215.90286179078748
2020-10-07,Emerging Markets,1107.899,1097.817319999548,857.8572049116574,1255.4572731733763
2020-10-07,Europe,1620.024,1677.5722772354566,1109.561828163191,1767.0375007217847
2020-10-07,North America,3462.703,2519.136946686233,2335.811942389358,3002.380035455764
2020-10-07,Pacific,2705.295,2621.496171158746,2114.383251236871,2871.4035371743707
2020-10-07,World,2409.395,2371.8125794333387,2022.97515414037,2663.2890172263073
